,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
D18_y,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402,357.402
D19_x,331.56,332.042,331.68,331.337,331.02,330.646,330.476,330.456,330.467,330.428,330.398,330.37,330.343,330.319,330.297,330.277,330.257,330.241,330.223,330.205,330.186,330.167,330.149,330.13,330.111,330.098,330.089,330.08,330.073,330.067,330.061,330.055,330.051,330.047,330.043,330.039,330.035,330.031,330.027,330.024,330.02,330.016,330.013,330.01,330.006,330.003,330.0,329.996,329.993,329.99
D19_y,78.6113,84.7671,85.0735,85.3945,85.716,86.1355,86.3321,86.3382,86.3053,86.3378,86.3581,86.376,86.3923,86.4064,86.4168,86.424,86.4323,86.435,86.4398,86.446,86.4527,86.4595,86.4665,86.4736,86.4808,86.4923,86.5088,86.5264,86.5409,86.5543,86.5677,86.5811,86.5926,86.6041,86.6157,86.6274,86.6392,86.6511,86.663,86.675,86.6871,86.6992,86.7114,86.7237,86.7359,86.7483,86.7607,86.7731,86.7856,86.7982
D20_x,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.256,435.259,435.272,435.284,435.295,435.304,435.314,435.326
D20_y,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36957,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36956,7.36424,7.33462,7.30836,7.28613,7.26601,7.24443,7.21858
D21_x,450.086,450.084,450.092,450.098,450.101,450.105,450.112,450.155,450.158,450.16,450.162,450.164,450.166,450.168,450.169,450.17,450.171,450.172,450.172,450.172,450.172,450.173,450.173,450.174,450.175,450.176,450.177,450.179,450.18,450.182,450.184,450.186,450.189,450.191,450.194,450.197,450.2,450.203,450.207,450.21,450.214,450.218,450.222,450.226,450.23,450.235,450.239,450.244,450.249,450.254
D21_y,155.423,155.456,155.493,155.518,155.539,155.558,155.595,155.778,155.798,155.818,155.838,155.858,155.878,155.898,155.918,155.938,155.958,155.978,155.998,156.018,156.038,156.058,156.078,156.098,156.118,156.137,156.157,156.177,156.197,156.217,156.237,156.257,156.277,156.297,156.316,156.336,156.356,156.376,156.395,156.415,156.435,156.454,156.474,156.494,156.513,156.533,156.552,156.571,156.591,156.61
D22_x,223.731,223.878,223.956,223.941,223.961,223.977,223.976,223.965,223.949,223.937,223.925,223.913,223.901,223.889,223.877,223.865,223.853,223.841,223.829,223.817,223.806,223.794,223.782,223.77,223.759,223.747,223.735,223.724,223.712,223.701,223.689,223.678,223.666,223.655,223.643,223.632,223.621,223.609,223.598,223.587,223.577,223.568,223.559,223.55,223.542,223.533,223.524,223.516,223.507,223.498
D22_y,281.484,281.627,281.692,281.664,281.673,281.676,281.661,281.636,281.61,281.594,281.578,281.562,281.546,281.53,281.514,281.498,281.482,281.466,281.45,281.434,281.418,281.402,281.385,281.369,281.353,281.337,281.321,281.304,281.288,281.272,281.255,281.239,281.223,281.206,281.19,281.173,281.157,281.14,281.124,281.107,281.092,281.078,281.064,281.05,281.036,281.022,281.007,280.993,280.979,280.965
D23_x,434.165,433.045,433.578,433.251,433.475,434.155,433.92,434.646,435.441,435.975,436.365,436.587,437.035,437.026,437.057,437.551,438.108,438.548,438.843,439.068,439.186,439.477,439.847,440.226,440.658,441.219,441.794,442.32,442.732,443.015,443.198,443.316,443.392,443.444,443.488,443.528,443.564,443.612,443.691,443.837,444.06,444.172,444.206,444.225,444.243,444.26,444.278,444.296,444.313,444.33
D23_y,245.372,247.669,248.517,250.173,250.195,250.196,251.421,252.673,253.44,253.584,253.452,253.752,253.938,255.219,255.715,255.637,255.922,256.208,256.429,256.606,256.927,256.71,256.781,256.843,256.955,257.18,257.469,257.786,258.068,258.273,258.407,258.491,258.544,258.58,258.611,258.642,258.663,258.672,258.658,258.601,258.513,258.601,258.639,258.662,258.682,258.701,258.719,258.737,258.755,258.774
D24_x,416.443,418.604,420.306,420.461,420.467,420.495,420.473,420.461,420.449,420.438,420.426,420.411,420.394,420.376,420.359,420.342,420.327,420.311,420.296,420.282,420.267,420.253,420.239,420.225,420.211,420.197,420.187,420.182,420.18,420.179,420.178,420.178,420.181,420.184,420.186,420.188,420.19,420.192,420.194,420.196,420.197,420.198,420.199,420.201,420.202,420.202,420.203,420.204,420.205,420.205
D24_y,398.498,400.102,400.804,401.268,401.459,401.767,401.786,401.77,401.754,401.738,401.721,401.766,401.848,401.925,401.984,402.025,402.055,402.076,402.091,402.104,402.113,402.12,402.124,402.127,402.129,402.13,402.132,402.135,402.138,402.14,402.142,402.142,402.142,402.142,402.143,402.144,402.144,402.145,402.146,402.146,402.147,402.148,402.148,402.149,402.149,402.15,402.151,402.151,402.151,402.152
D25_x,140.32,137.591,136.558,136.131,136.126,136.124,136.03,136.027,136.017,136.002,135.979,135.974,135.969,135.965,135.961,135.957,135.951,135.942,135.933,135.923,135.914,135.904,135.894,135.884,135.874,135.864,135.855,135.845,135.835,135.825,135.815,135.805,135.795,135.786,135.776,135.766,135.756,135.746,135.736,135.726,135.716,135.706,135.696,135.686,135.676,135.666,135.656,135.646,135.637,135.626
