,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D23_x,430.883,432.293,433.461,430.283,428.047,428.58,424.828,429.458,436.362,438.5,442.044,447.767,453.449,465.697,468.442,458.987,456.017,456.867,471.515,473.222
D23_y,450.704,461.032,468.332,470.422,464.447,464.377,470.29,470.943,466.395,462.878,464.481,466.87,461.951,463.762,466.357,479.527,501.133,491.482,498.359,502.186
D24_x,496.003,496.8,496.8,496.8,496.8,496.8,496.8,496.8,496.8,494.699,495.003,495.212,496.091,485.398,496.967,488.293,491.218,494.292,494.574,495.069
D24_y,89.7861,88.7162,88.7162,88.7162,88.7162,88.7162,88.7162,88.7162,88.7162,82.906,79.7712,79.1387,71.9347,79.9874,86.7428,79.3918,76.8077,75.3376,75.1872,75.0066
D25_x,25.4881,10.2316,15.4046,11.3137,9.4698,12.6444,1.33354,1.18904,0.412255,0.455661,-0.247742,-0.330861,-0.331168,-0.396358,-0.396358,-0.396358,1.27055,0.585244,0.145396,-0.782863
D25_y,230.213,231.193,230.922,230.406,228.41,231.074,228.719,229.233,202.462,202.092,203.454,203.692,203.693,203.353,203.353,203.353,210.992,211.658,206.608,205.235
D26_x,416.535,416.846,416.845,416.845,416.845,416.845,418.863,417.433,423.656,421.024,425.778,408.995,409.667,400.488,386.201,380.998,375.456,374.736,374.529,374.529
D26_y,174.179,181.027,181.028,181.028,181.028,181.028,179.949,181.658,187.589,188.03,184.626,197.282,184.564,186.763,191.448,190.281,191.05,193.215,194.046,194.046
D27_x,378.96,381.567,387.683,396.511,403.687,411.335,419.055,420.48,427.764,437.77,436.717,443.236,433.169,421.811,432.414,407.834,401.394,411.245,414.393,423.905
D27_y,368.139,361.676,354.58,346.74,341.167,341.623,343.722,351.013,345.507,345.195,341.274,337.694,337.412,333.289,345.587,339.065,327.484,323.928,317.064,314.753
D28_x,41.047,43.2681,41.5624,41.3613,38.553,40.2271,36.6359,36.6304,32.6257,24.3829,18.2401,19.7304,17.5374,27.2223,26.236,22.7125,19.9787,15.3547,19.8058,20.5143
D28_y,323.528,329.809,331.779,332.499,337.301,337.193,339.217,339.213,330.91,326.732,330.653,337.803,342.201,342.413,335.633,337.474,346.544,347.685,352.802,351.315
